STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,Khg kinh doanh(Khg co vi tri),N
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ban cham),N
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ma C),N
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
219,3383606,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
220,3383607,13468,100-CTY TNHH SAMRAN-NR,Khg kinh doanh(Khg co vi tri),N
221,3383608,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
222,3383609,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
229,3012794,12989,100-CTY TNHH SAMRAN,Dang kinh doanh,Y
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
236,3253175,12989,100-CTY TNHH SAMRAN,Dang kinh doanh,Y
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
266,3350607,16964,100-CTy TNHH Tan Hop Thanh,Khg KD(DM Tinh gon),N
267,3350608,16964,100-CTy TNHH Tan Hop Thanh,Khg KD(DM Tinh gon),N
269,3449943,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
273,3181800,13979,100-CTy TNHH Thuong Mai L.H,Khg kinh doanh-khg co vi tri,N
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
275,3493317,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
276,3493318,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
279,3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh(Ban cham-khg co vi tri),N
280,3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Khg Kinh doanh(Khg co vi tri),N
281,3390753,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
282,3390754,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
283,3390755,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
290,3494100,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
291,3494101,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
292,3494102,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
293,3494103,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
296,3392947,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
297,3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
298,3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
300,3449947,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
301,3555039,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
303,3134265,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
307,3387567,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
308,3387568,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
309,3387569,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
312,3479552,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
315,3434401,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
316,3434402,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
317,3434403,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ma C),N
318,3434405,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
319,3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
326,3515856,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
327,3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
328,3419926,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
338,3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
339,3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
340,3523181,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
341,3523363,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
342,3523364,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
343,3523365,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
344,3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
345,3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
346,3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
356,3440906,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ban cham),N
362,3521071,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
363,3521072,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
364,3521073,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
365,3521074,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
398,3374925,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
399,3374926,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
400,3374927,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
403,3480412,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
404,3480413,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
405,3480422,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
409,3403272,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
410,3404154,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
411,3414888,11773,110-CTy CP SX Nhua Duy Tan,TTPP dut hang,Y
414,3508978,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
420,3382457,12989,100-CTY TNHH SAMRAN,Ngung kinh doanh(Ban cham-khg co vi tri),N
421,3487359,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
422,3487361,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ban cham),N
423,3487363,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
424,3487364,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
425,3487366,12989,100-CTY TNHH SAMRAN,Dang kinh doanh,Y
426,3487674,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
427,3496126,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
428,3496127,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
431,3223203,12989,100-CTY TNHH SAMRAN,Dang kinh doanh,Y
435,3288346,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
444,3372352,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ma C),N
447,3459152,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
448,3528748,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung Kinh doanh(Ma C),N
449,3528749,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
450,3528750,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
467,3433469,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ban cham),N
468,3513945,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
469,3513947,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
470,3513972,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
479,3524413,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
480,3524414,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
481,3524415,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
482,3524416,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,Ngung kinh doanh(Ban cham-khg co vi tri),N
492,3311748,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
493,3312777,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
494,3312779,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
495,3312780,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
500,3458930,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
502,3446423,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
503,3446427,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
505,3081035,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
507,3556424,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
508,3535085,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
509,3556030,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
515,3392948,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
516,3392949,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
517,3392951,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
521,3477798,18833,100-Cong ty CP TD Kim Duc -NR,Dang kinh doanh,Y
522,3477799,18833,100-Cong ty CP TD Kim Duc -NR,Dang kinh doanh,Y
523,3477800,18833,100-Cong ty CP TD Kim Duc -NR,Dang kinh doanh,Y
529,3473447,18833,100-Cong ty CP TD Kim Duc -NR,Dang kinh doanh,Y
538,3364612,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
540,3455364,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
541,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
543,3406659,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
544,3406717,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
545,3406719,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
546,3406721,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
547,3406723,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
560,3507585,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
561,3419604,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
562,3422258,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
563,3422250,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
564,3519233,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
566,3392950,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
567,3517502,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
568,3390756,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
569,3476197,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
570,3011823,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
571,3509235,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
572,3438240,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
573,3436536,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
574,3434404,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
575,3552975,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
576,3368152,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
577,3537737,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh(Ma C),N
578,3548188,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
579,3548189,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
580,3548191,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
581,3555041,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
582,3448563,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
583,3555042,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
584,3546767,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
585,3555040,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
586,3503276,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham-khg co vi tri),N
587,3503277,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
588,3419131,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
589,3422582,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
591,3490338,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
592,3312781,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
593,3342478,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
594,3550806,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
595,3065101,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
596,3065131,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
604,3533214,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
605,3533215,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
608,3534020,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
609,3535084,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
610,3535595,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
611,3535596,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
612,3535608,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
617,3536397,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
618,3536398,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
619,3536399,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
620,3536400,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
621,3536484,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
